"","IDROAD","IDREL_A","IDREL_B","N_POST","LENGTH","MAX_SLOPE","AVG_SLOPE","SPEED","TIME"
"341","815","875","73",1.5,7.205,5.54,2.39,9.3,46
"342","818","1722","634",1,6.258,5.82,1.7,9.85,38
"343","837","434","1693",1.5,12.808,5.16,1.58,7.92,97
"344","838","1693","435",1,9.502,8.07,1.94,8.79,65
"345","839","1665","31",2.5,17.68,14.82,3.44,7.5,141
"346","845","1042","298",2,19.781,5.07,0.57,7.5,158
"347","848","301","854",1.5,10.519,1.29,0.62,8.81,72
"348","849","292","854",2.5,16.872,3.84,0.82,7.5,135
"349","850","333","1690",2.5,17.045,2.75,0.34,7.5,136
"350","851","298","1690",2,13.954,1.68,0.39,7.8,107
"351","852","1709","440",2,16.636,7.57,1.57,7.5,133
"352","853","1709","331",2,17.188,2.66,1.09,7.5,138
"353","854","1029","440",1.5,14.191,6.25,2.2,7.5,114
"354","864","143","1731",1.75,10.531,1.77,0.53,8.81,72
"355","865","1731","145",1.75,9.898,3.15,0.55,9,66
"356","866","498","531",1.25,15.524,13.14,0.76,7.5,124
"357","867","767","491",1.25,6.53,9.48,2.12,9.62,41
"358","868","767","417",1,12.298,6.92,1.21,8.17,90
"359","871","769","88",2,14.27,2.18,0.48,7.7,111
"360","872","769","398",2,15.542,3.38,0.87,7.5,124
"361","873","770","184",1.5,12.107,130.1,9.29,7.5,97
"362","876","110","772",2,18.071,8.66,1.22,7.5,145
"363","885","871","645",2,11.045,10.55,4.36,7.5,88
"364","887","136","780",1.5,11.5,1.92,0.34,8.54,81
"365","888","780","141",1.5,10.64,1.28,0.3,8.8,73
"366","890","41","781",2,14.616,3.94,0.96,7.53,117
"367","893","783","223",1.5,9.993,16.67,3.55,7.85,76
"368","894","783","221",1,8.64,3.49,0.64,9.37,55
"369","907","791","754",1.5,11.843,9.96,1.28,8.29,86
"370","908","797","161",2,15.882,7.63,1.84,7.5,127
"371","909","797","255",2.5,18.014,3.99,1.53,7.5,144
"372","910","796","255",2.5,21.26,6.9,1.76,7.5,170
"373","911","796","795",2.5,20.49,6.64,1.26,7.5,164
"374","912","407","795",3,25.164,5.73,0.98,7.5,201
"375","913","407","794",2.5,17.849,7.29,0.93,7.5,143
"376","917","405","799",1.25,9.774,5.96,0.79,9.01,65
"377","918","404","800",1,6.5,3.04,1.05,9.94,39
"378","923","802","489",1.5,12.25,13.27,2.99,7.5,98
"379","924","425","805",1.5,10.41,1.74,0.51,8.85,71
"380","925","667","805",1.5,10.2,1.83,0.44,8.92,69
"381","931","809","252",2.5,18.498,21.5,5.56,7.5,148
"382","932","809","250",2.5,18.694,22.16,3.27,7.5,150
"383","935","811","263",1.25,9.534,9,3.02,8.29,69
"384","936","811","270",2,14.893,15.96,3.02,7.5,119
"385","937","812","269",2,14.984,14.82,3.94,7.5,120
"386","938","36","812",2,14.363,3.99,0.77,7.63,113
"387","947","855","331",2,14.726,4.32,1.4,7.5,118
"388","948","315","819",1.5,9.1,4.41,1.86,8.94,61
"389","949","442","819",1.25,10.211,3.6,0.9,8.86,69
"390","950","503","820",1.25,9.646,10.32,2.01,8.72,66
"391","951","820","821",1.5,11.3,12.37,2.16,8.17,83
"392","952","307","821",1.25,9.702,10.94,2.96,8.28,70
"393","953","832","519",1.5,12.502,2.7,0.89,8.17,92
"394","954","832","412",2,14.204,9.91,2.41,7.5,114
"395","957","834","414",1.75,13.97,11.13,0.95,7.72,109
"396","958","834","516",1.5,8.463,22.18,3.03,8.61,59
"397","964","113","839",2,18.61,18.35,1.17,7.5,149
"398","965","839","840",2,11.33,1.92,0.56,8.57,79
"399","969","59","843",2,16.125,4.47,0.56,7.5,129
"400","971","823","824",1.5,10.29,5.4,1.13,8.79,70
"401","972","825","824",1,8.188,5.79,0.79,9.48,52
"402","973","826","825",2,15.232,11.64,2.73,7.5,122
"403","974","827","826",1.5,11.72,18.19,2.76,7.77,90
"404","975","844","827",2,14.666,13.69,2.46,7.5,117
"405","976","113","844",2,16.85,13.31,1.13,7.5,135
"406","981","849","442",1.5,10.532,4.48,0.89,8.76,72
"407","985","850","304",1.5,12.102,2.54,0.52,8.34,87
"408","986","850","301",2,13.278,1.42,0.26,8.01,99
"409","993","300","877",2,16.605,6.87,1.28,7.5,133
"410","994","858","513",2,13.277,7.27,2.37,7.5,106
"411","996","288","858",1.5,13.06,4.05,1.33,7.91,99
"412","1000","304","857",1.5,11.017,2.53,0.4,8.68,76
"413","1001","861","421",2,15.044,10.53,1.91,7.5,120
"414","1002","861","416",2,17.141,6.52,1.01,7.5,137
"415","1003","861","860",1.5,12.761,4.39,0.46,8.15,94
"416","1004","497","859",1.25,10.5,4.14,0.38,8.84,71
"417","1005","860","859",1.75,13.621,10.33,1.36,7.74,106
"418","1010","125","864",2.5,18.482,11.64,2.53,7.5,148
"419","1011","865","864",2,16.73,9.06,2.76,7.5,134
"420","1012","866","865",2,14.651,8.61,2.6,7.5,117
"421","1017","118","878",2.5,22.437,20.33,2.98,7.5,179
"422","1018","65","878",2,15.513,9.37,2.33,7.5,124
"423","1027","664","798",1,7.424,1.07,0.38,9.76,46
"424","1028","430","798",1.75,12.87,6.11,1.04,8.03,96
"425","1029","822","525",1.75,12.518,21.23,2.2,7.79,96
"426","1030","822","748",1,6.998,2.29,0.85,9.83,43
"427","1031","828","827",1.5,9.361,11.17,2.69,8.51,66
"428","1034","831","830",1.5,11.048,11.83,2.65,8.03,83
"429","1035","831","414",1.5,11.236,15.4,0.84,8.56,79
"430","1038","1692","338",1,7.339,7.33,3,8.96,49
"431","1039","1692","335",1.5,12.022,5,1.2,8.26,87
"432","1045","112","1006",1.25,10.531,8.56,0.95,8.75,72
"433","1047","1175","840",1.5,14.242,13.14,1.5,7.51,114
"434","1056","1668","871",2,13.195,17.49,5.55,7.5,106
"435","1061","913","202",1.5,13.528,6.67,1.47,7.73,105
"436","1063","1205","53",2,14.823,13.25,1,7.5,119
"437","1064","1205","56",2,13.487,14.26,3.5,7.5,108
"438","1065","253","1688",1.5,11.18,16.82,4.21,7.5,89
"439","1066","251","1688",1.5,10.881,11.45,2.3,8.24,79
"440","1069","1691","804",2,13.363,14.14,2.5,7.5,107
"441","1075","497","1689",1.5,14.817,6.3,1.21,7.5,119
"442","1076","1689","416",1,6.519,4.63,1.17,9.91,39
"443","1078","300","1474",1.5,13.051,8.6,1.98,7.71,102
"444","1079","1474","513",1.5,9.113,3.45,1.91,8.92,61
"445","1081","408","800",2,14.632,3.36,0.54,7.58,116
"446","1082","408","799",1.75,13.073,8.38,1.85,7.75,101
"447","1091","880","482",1,8.698,11.26,2.95,8.59,61
"448","1092","881","880",2,10.661,14.73,5.97,7.5,85
"449","1094","884","883",1,7.723,7.46,3.11,8.79,53
"450","1095","1188","1189",1,8.096,14.05,4.24,7.96,61
"451","1096","1188","89",1.5,9.033,20,4.2,7.71,70
"452","1097","403","886",2,15.12,10.18,1.8,7.5,121
