dataset,C_DC_5,C_SC_9,bucket,n,min_value,max_value,share
Aretail,5,9,0.5 to < Q3,179713,0.500009179,6.214115143,50.9
Aleis,1,1,Top 25% (>= Q3),512,9.737026215,22.70089722,13.6
Aleis,1,1,Zero (== 0),1139,0,0,30.3
Aleis,1,1,< 0.5 (non-zero),248,0.001423538,0.499696553,6.6
Aleis,1,1,0.5 to < Q3,1856,0.507838726,9.72002697,49.5
Aleis,1,2,Top 25% (>= Q3),994,9.736279488,44.66266632,4.9
Aleis,1,2,Zero (== 0),2755,0,0,13.4
Aleis,1,2,< 0.5 (non-zero),2612,4.3571E-05,0.499963939,12.8
Aleis,1,2,0.5 to < Q3,14123,0.500031292,9.727526665,68.9
Aleis,1,3,Top 25% (>= Q3),577,9.739043236,34.5045929,4.4
Aleis,1,3,Zero (== 0),1704,0,0,12.9
Aleis,1,3,< 0.5 (non-zero),1671,0.000698209,0.499462843,12.7
Aleis,1,3,0.5 to < Q3,9228,0.500021577,9.733277321,70
Aleis,1,4,Top 25% (>= Q3),346,9.760149002,80.85090637,9.7
Aleis,1,4,Zero (== 0),483,0,0,13.5
Aleis,1,4,< 0.5 (non-zero),603,0.000520229,0.497996628,16.9
Aleis,1,4,0.5 to < Q3,2142,0.501294315,9.703069687,59.9
Aleis,1,5,Top 25% (>= Q3),69,9.847981453,19.74316406,1.1
Aleis,1,5,Zero (== 0),800,0,0,13.2
Aleis,1,5,< 0.5 (non-zero),764,0.000610232,0.499364495,12.6
Aleis,1,5,0.5 to < Q3,4441,0.500380039,9.733456612,73.1
Aleis,1,6,Top 25% (>= Q3),2206,9.734498978,37.93225098,16.5
Aleis,1,6,Zero (== 0),705,0,0,5.3
Aleis,1,6,< 0.5 (non-zero),1061,4.85778E-05,0.499363661,8
Aleis,1,6,0.5 to < Q3,9371,0.500497818,9.733426094,70.2
Aleis,2,1,Top 25% (>= Q3),3578,9.735010147,36.11077118,10
Aleis,2,1,Zero (== 0),710,0,0,2
Aleis,2,1,< 0.5 (non-zero),2027,8.36849E-05,0.499946117,5.7
Aleis,2,1,0.5 to < Q3,29508,0.500228524,9.732751846,82.3
Aleis,2,2,Top 25% (>= Q3),1450,9.736532211,46.74581909,9.2
Aleis,2,2,Zero (== 0),334,0,0,2.1
Aleis,2,2,< 0.5 (non-zero),817,0.000102818,0.499989629,5.2
Aleis,2,2,0.5 to < Q3,13183,0.50192523,9.731333733,83.5
Aleis,2,3,Top 25% (>= Q3),720,9.738275528,63.54762268,21.6
Aleis,2,3,Zero (== 0),230,0,0,6.9
Aleis,2,3,< 0.5 (non-zero),249,0.002725005,0.495278716,7.5
Aleis,2,3,0.5 to < Q3,2127,0.508895636,9.661680222,64
Aleis,2,4,Top 25% (>= Q3),2890,9.734335899,48.2326889,11.6
Aleis,2,4,Zero (== 0),470,0,0,1.9
Aleis,2,4,< 0.5 (non-zero),1155,0.000121534,0.499992847,4.6
Aleis,2,4,0.5 to < Q3,20496,0.500083685,9.733403206,81.9
Aleis,2,5,Top 25% (>= Q3),793,9.734445572,26.6369648,25.2
Aleis,2,5,Zero (== 0),48,0,0,1.5
Aleis,2,5,< 0.5 (non-zero),82,0.021511734,0.494949102,2.6
Aleis,2,5,0.5 to < Q3,2225,0.501516402,9.721486092,70.7
Aleis,2,6,Top 25% (>= Q3),1338,9.744197845,49.30780792,11.9
Aleis,2,6,Zero (== 0),335,0,0,3
Aleis,2,6,< 0.5 (non-zero),648,0.001169622,0.49985069,5.8
Aleis,2,6,0.5 to < Q3,8938,0.500396967,9.730340004,79.3
Aleis,2,7,Top 25% (>= Q3),865,9.734406471,26.92257118,26.3
Aleis,2,7,Zero (== 0),17,0,0,0.5
Aleis,2,7,< 0.5 (non-zero),288,0.000398457,0.496808171,8.7
Aleis,2,7,0.5 to < Q3,2125,0.500697255,9.729307175,64.5
Aleis,3,1,Top 25% (>= Q3),12,27.12228966,54.25599289,5.2
Aleis,3,1,Zero (== 0),114,0,0,49.1
Aleis,3,1,< 0.5 (non-zero),52,0.00282073,0.49597168,22.4
Aleis,3,1,0.5 to < Q3,54,0.509962916,2.324905872,23.3
Aleis,3,2,Top 25% (>= Q3),280,9.735667229,20.79524422,6.2
Aleis,3,2,Zero (== 0),1156,0,0,25.4
Aleis,3,2,< 0.5 (non-zero),952,7.34925E-05,0.499884188,21
Aleis,3,2,0.5 to < Q3,2155,0.500060916,9.724318504,47.4
Aleis,3,3,Top 25% (>= Q3),0,,,0
Aleis,3,3,Zero (== 0),340,0,0,14.3
Aleis,3,3,< 0.5 (non-zero),755,5.13792E-05,0.499177098,31.7
Aleis,3,3,0.5 to < Q3,1289,0.500006676,8.179590225,54
Aleis,3,4,Top 25% (>= Q3),14,11.11345577,14.23209381,0.5
Aleis,3,4,Zero (== 0),835,0,0,31.5
Aleis,3,4,< 0.5 (non-zero),372,0.000830531,0.499922693,14
Aleis,3,4,0.5 to < Q3,1434,0.500255942,9.112559319,54
Aleis,3,5,Top 25% (>= Q3),5,10.13593292,17.64320374,0.9
Aleis,3,5,Zero (== 0),366,0,0,65.4
Aleis,3,5,< 0.5 (non-zero),86,0.001542926,0.492423773,15.4
Aleis,3,5,0.5 to < Q3,103,0.501029134,9.725129128,18.3
Aleis,3,6,Top 25% (>= Q3),111,9.890774727,47.40030289,2.7
Aleis,3,6,Zero (== 0),1475,0,0,35.6
Aleis,3,6,< 0.5 (non-zero),852,0.000346124,0.499544144,20.6
Aleis,3,6,0.5 to < Q3,1700,0.500159919,9.729557037,41.1
Aleis,4,1,Top 25% (>= Q3),1494,9.736240387,61.10839081,18.5
Aleis,4,1,Zero (== 0),72,0,0,0.9
Aleis,4,1,< 0.5 (non-zero),392,0.001304388,0.499123335,4.9
Aleis,4,1,0.5 to < Q3,6116,0.501844645,9.730035782,75.7
Aleis,4,4,Top 25% (>= Q3),2788,9.738649368,31.74602509,24.2
Aleis,4,4,Zero (== 0),354,0,0,3.1
Aleis,4,4,< 0.5 (non-zero),821,0.000578284,0.498100519,7.1
Aleis,4,4,0.5 to < Q3,7543,0.503569663,9.73281765,65.6
Aleis,4,5,Top 25% (>= Q3),0,,,0
Aleis,4,5,Zero (== 0),0,,,0
Aleis,4,5,< 0.5 (non-zero),0,,,0
Aleis,4,5,0.5 to < Q3,657,0.59045881,8.534964561,100
Aleis,4,6,Top 25% (>= Q3),383,9.740315437,20.18572235,21.3
Aleis,4,6,Zero (== 0),0,,,0
Aleis,4,6,< 0.5 (non-zero),0,,,0
Aleis,4,6,0.5 to < Q3,1414,0.617478728,9.721871376,78.7
Aleis,4,7,Top 25% (>= Q3),35405,9.734241486,132.1474152,22.9
Aleis,4,7,Zero (== 0),2373,0,0,1.5
Aleis,4,7,< 0.5 (non-zero),4890,0.000178337,0.499841452,3.2
Aleis,4,7,0.5 to < Q3,111617,0.500049055,9.734186172,72.4
Aleis,4,8,Top 25% (>= Q3),2560,9.735555649,28.65774536,33.6
Aleis,4,8,Zero (== 0),53,0,0,0.7
Aleis,4,8,< 0.5 (non-zero),276,0.003880024,0.498935163,3.6
Aleis,4,8,0.5 to < Q3,4727,0.507500231,9.731797218,62.1
Aleis,5,5,Top 25% (>= Q3),0,,,0
Aleis,5,5,Zero (== 0),0,,,0
Aleis,5,5,< 0.5 (non-zero),0,,,0
Aleis,5,5,0.5 to < Q3,24,1.260761976,5.002533436,100
Aleis,5,6,Top 25% (>= Q3),7,9.741035461,10.71988392,9.2
Aleis,5,6,Zero (== 0),0,,,0
Aleis,5,6,< 0.5 (non-zero),5,0.119992554,0.271444142,6.6
Aleis,5,6,0.5 to < Q3,64,2.085075378,9.437093735,84.2
Aleis,5,7,Top 25% (>= Q3),8043,9.73620224,140.6445007,26
Aleis,5,7,Zero (== 0),771,0,0,2.5
Aleis,5,7,< 0.5 (non-zero),1730,0.000291109,0.499569416,5.6
Aleis,5,7,0.5 to < Q3,20366,0.500402868,9.733448029,65.9
Aleis,5,8,Top 25% (>= Q3),3579,9.738778114,54.71623611,41.9
Aleis,5,8,Zero (== 0),3,0,0,0
Aleis,5,8,< 0.5 (non-zero),43,0.005713105,0.49608475,0.5
Aleis,5,8,0.5 to < Q3,4917,0.515128195,9.731683731,57.6
Aleis,5,9,Top 25% (>= Q3),116121,9.73432827,137.5257721,32.9
Aleis,5,9,Zero (== 0),1810,0,0,0.5
Aleis,5,9,< 0.5 (non-zero),6528,0.000383437,0.499829531,1.9
Aleis,5,9,0.5 to < Q3,228045,0.500043452,9.734220505,64.7
Ahealth,1,1,Top 25% (>= Q3),0,,,0
Ahealth,1,1,Zero (== 0),3565,0,0,94.9
Ahealth,1,1,< 0.5 (non-zero),181,0.000238419,0.479074836,4.8
Ahealth,1,1,0.5 to < Q3,9,0.500352025,0.659152508,0.3
Ahealth,1,2,Top 25% (>= Q3),436,0.779410958,1.669436812,2.1
Ahealth,1,2,Zero (== 0),17211,0,0,84
Ahealth,1,2,< 0.5 (non-zero),2382,3.71933E-05,0.498140574,11.6
Ahealth,1,2,0.5 to < Q3,455,0.500024378,0.778906107,2.3
Ahealth,1,3,Top 25% (>= Q3),806,0.779134035,4.01859951,6.1
Ahealth,1,3,Zero (== 0),11040,0,0,83.8
Ahealth,1,3,< 0.5 (non-zero),936,0.000181556,0.499295413,7.1
Ahealth,1,3,0.5 to < Q3,398,0.500502706,0.778492391,3
Ahealth,1,4,Top 25% (>= Q3),34,0.782288909,1.479220629,1
Ahealth,1,4,Zero (== 0),2934,0,0,82.1
Ahealth,1,4,< 0.5 (non-zero),512,0.000420928,0.498285651,14.3
Ahealth,1,4,0.5 to < Q3,94,0.50475347,0.772736967,2.6
Ahealth,1,5,Top 25% (>= Q3),0,,,0
Ahealth,1,5,Zero (== 0),5703,0,0,93.9
Ahealth,1,5,< 0.5 (non-zero),328,0.000183821,0.499329507,5.4
Ahealth,1,5,0.5 to < Q3,43,0.503531218,0.691764832,0.7
Ahealth,1,6,Top 25% (>= Q3),1014,0.779073298,2.471895933,7.6
Ahealth,1,6,Zero (== 0),10676,0,0,80
Ahealth,1,6,< 0.5 (non-zero),966,0.000816405,0.499154389,7.2
Ahealth,1,6,0.5 to < Q3,687,0.500379443,0.778445363,5.2
Ahealth,2,1,Top 25% (>= Q3),2639,0.779266655,4.088876247,7.4
Ahealth,2,1,Zero (== 0),24957,0,0,69.7
Ahealth,2,1,< 0.5 (non-zero),5781,0.000225544,0.499921978,16.1
Ahealth,2,1,0.5 to < Q3,2446,0.50017339,0.778943419,6.8
Ahealth,2,2,Top 25% (>= Q3),1923,0.779222429,2.680338383,12.2
Ahealth,2,2,Zero (== 0),9582,0,0,60.7
Ahealth,2,2,< 0.5 (non-zero),3312,2.38419E-07,0.499603987,21
Ahealth,2,2,0.5 to < Q3,967,0.500025153,0.779024184,6.1
Ahealth,2,3,Top 25% (>= Q3),693,1.091091275,5.301528454,20.8
Ahealth,2,3,Zero (== 0),2395,0,0,72
Ahealth,2,3,< 0.5 (non-zero),209,0.001915395,0.499935985,6.3
Ahealth,2,3,0.5 to < Q3,29,0.501116097,0.775147796,0.9
Ahealth,2,4,Top 25% (>= Q3),3632,0.779423952,4.697291851,14.5
Ahealth,2,4,Zero (== 0),14352,0,0,57.4
Ahealth,2,4,< 0.5 (non-zero),4347,1.49608E-05,0.49996227,17.4
Ahealth,2,4,0.5 to < Q3,2680,0.500133634,0.77877754,10.7
Ahealth,2,5,Top 25% (>= Q3),807,0.789469004,2.278992653,25.6
Ahealth,2,5,Zero (== 0),1629,0,0,51.7
Ahealth,2,5,< 0.5 (non-zero),486,0.043003261,0.499570966,15.4
Ahealth,2,5,0.5 to < Q3,226,0.500427485,0.777402103,7.3
Ahealth,2,6,Top 25% (>= Q3),1180,0.779596329,2.48933363,10.5
Ahealth,2,6,Zero (== 0),7982,0,0,70.9
Ahealth,2,6,< 0.5 (non-zero),1512,0.00060451,0.499933481,13.4
Ahealth,2,6,0.5 to < Q3,585,0.501401186,0.778382659,5.2
Ahealth,2,7,Top 25% (>= Q3),980,0.779408038,3.184710979,29.7
